Gebäude,Abkürzung
Ostbayerische Technische Hochschule Regensburg,OTH
Philosophie und Theologie,PT
Physik,PHY
Recht und Wirtschaft,RWLG + RWS
Sammelgebäude,SG
Sportzentrum,Sport
Studentenhaus,SH
Vielberthgebäude,NHGB
Vorklinikum,VKL
Westliche Naturwissenschaften,WNDE
Zentrtales Bibliotheksgebäude,ZB
Chemie,CHE
Rechenzentrum,RZ
Bauamt,SG
Biologie,Biologie
Mathematik,Mathe
Mensa,Mensa
Parkhaus 1 + 2 Süd,Parkhäuser
Technische Zentrale,TZ
Fahrzeughalle,FZHG
Entsorgungszentrum,ENZE
