Monatswerte;Jan. 2023;Feb. 2023;Mrz. 2023;Apr. 2023;Mai. 2023;Jun. 2023;Jul. 2023;Aug. 2023;Sep. 2023;Okt. 2023;Nov. 2023;Dez. 2023
Chemie, Wärme;2731326,59412382;2238908,49144079;1873023,38926135;1096399,27613881;298049,601986018;35487;71846;73705;36409;792546,212055747;1895103,17201162;2493301,33637116
Mathematik, Wärme;93102,4555888556;46345,3412509266;22033,9737826563;13133,5344084992;2340,78918981327;573;6;0;520;15126,4504484567;40842,4944949601;30301,9434815458
Ostbayerische Technische Hochschule Regensburg, Wärme;756,307117286876;646,87645623158;516,075641441223;321,454892558419;185,393123735259;154;154;159;161;322,74357886574;529,969921932383;767,435433721194
Philosophie und Theologie, Wärme;692557,962142102;518474,832970252;450108,945129336;274097,252881274;125689,546182146;0;0;16096;33560;194995,746480316;232160,916700079;295598,905870007
Physik, Wärme;592809,808778401;495676,746574741;430967,911481529;288152,052208265;113263,238456998;53433;49917;65702;69594;273739,276363264;460512,746846822;636230,65936712
Recht und Wirtschaft, Wärme;166053996,146433;135919371,610077;119409480,889028;75756295,7773225;25732517,5730279;999000;0;0;4460802;73068404,6332349;121146186,278136;141951506,789511
Sammelgebäude, Wärme;305350,989707633;260602,825773001;239327,326207937;156694,229048385;69629,53198992;5980;0;0;3274;138396,778527614;242970,120938792;323362,242326481
Sportzentrum, Wärme;53745,7687515997;27169,5857918775;24667,3208640176;48322,1556749136;67854,5010820769;40482;31591;23962;48363;84448,4447893382;37252,8825108314;10083,0153986918
Studentenhaus, Wärme;70554,412865078;59457,3848699974;53380,4808066795;34820,1599261335;14784,3653736791;5305;5958;6696;1829;24396,1141491167;43518,0344829028;68225,607476563
Verwaltungsgebäude und Ladengeschäfte, Wärme;137706,718324089;114399,561955814;91868,4003206066;54462,129802637;15269,6247333032;20;49;126;3656;67289,8520685382;119611,886979409;146806,611359387
Vielberthgebäude, Wärme;65043,5092250261;56414,4945375206;48587,0197271553;26727,4602596282;8508,80328689537;0;0;0;940;22614,0701442805;49393,6374041887;62898,5659611666
Vorklinikum, Wärme;1223594,37022523;1058606,932122510;938643,901773510;645956,447258815;343252,350502332;110995;128250;117931;140117;521439,419527432;930793,619478256;1187017,604204020
Westliche Naturwissenschaften, Wärme;382440,577014592;312269,616545558;245972,132344522;141288,502482571;50247,3546040179;39489;41763;67206;80532;127036,927356554;251036,272167912;355003,99073533
Zentrales Bibiliotheksgebäude, Wärme;380400,588294072;294157,615881485;246020,924588242;133537,363578517;45304,2342283712;554;668;21867;12177;144433,285922843;280481,693663516;343516,909849371
Zentrales Hörsaalgebäude, Wärme;336886,586672316;292861,507314399;238855,522317191;148263,63830848;38344,9861624563;0;0;0;7630;100263,283904955;237189,473799918;336796,118650955
Chemie, Kälte;15603,800069032;14153,0997587242;16907,231602079;13698,542294202;21708,0622962011;45891;50784;42837;31036;23036,6995005846;14359,9521477167;14448,8379863142
Philosophie und Theologie, Kälte;46,2219167763477;232,963001883845;91,1665912577134;54,4487064678535;29,2280645863255;22328;54802;46688;37079;9664,6758113796;1,22887139107612;25,3311850032416
Physik, Kälte;178328,60289819;174996,145564361;202795,165996753;181937,722120571;153171,835545549;154959;153329;141524;134116;151285,944072858;179347,885740538;181359,990342745
Rechenzentrum, Kälte;8751,48830009791;15740,6084654632;29977,3032067761;45173,3574098035;112550,262927118;179630;207423;220919;206696;159908,968598016;21316,0518267931;22618,4069230129
Studentenhaus, Kälte;0;0;0;0;0;0;0;0;0;0;0;0
Vielberthgebäude, Kälte;4651,76651354158;3873,87345600337;4572,14348759613;3753,98538047356;4156,6888285884;9049;14222;15087;8190;6163,65402417574;4454,92216288141;4336,67230097207
Westliche Naturwissenschaften, Kälte;229098,174141559;202118,435205694;226241,66626815;187882,579075474;216498,956733937;320196;361894;380296;311212;270875,122629831;207474,943081935;221738,722129723
Zentrales Hörsaalgebäude, Kälte;0;0;0;0;0;2;7;0;0;0;0;0
Bauamt, Strom;4697,47;4012,99;4573,78;3597,03;3668,21;3563,54;3656,99;3923,16;3853,21;4517,66;4765,36;4618,59
Chemie, Strom;735973,43;704600,30;757631,83;731584,75;724082,11;666248,45;677040,19;640866,66;648894,30;720185,39;767777,27;760748,44
Mathematik, Strom;16813,45;14298,71;13451,32;12731,69;14319,29;13513,77;14923,36;12057,71;12685,42;16142,62;16665,78;14453,61
Mensa, Strom;161058,3;157207,76;146039,57;150224,91;165273,72;167955,86;177907,84;151184,92;152976,52;174476,93;170446,97;148666,44
Ostbayerische Technische Hochschule Regensburg, Strom;355722,50;322543,77;354319,13;328931,65;336210,05;338950,72;343803,74;277143,85;268004,14;347703,06;360262,49;354650,94
Parkhaus 1 + 2 Süd, Strom;13953,11;12600,01;12543,46;11227,68;8223,73;7002,92;6005,30;5290,12;5188,41;9273,73;14622,02;14551,01
Philosophie und Theologie, Strom;221718,75;213276,98;221176,52;195340,52;203844,65;199946,08;207950,37;198542,79;193604,04;213645,6;228478,86;223933,66
Physik, Strom;288494,83;289587,5;315567,92;302772,61;329340,45;325923,71;342683,34;330824;327387,34;327408,92;321878,17;305068,38
Rechenzentrum, Strom;224971,8;213281,96;216489,16;226873,34;237717,15;231071;245031,07;217967,99;229238,99;230947,42;229777,76;234449,29
Recht und Wirtschaft, Strom;119710,94;118163,50;122361,74;100230,96;100424,10;103278,11;109713,03;99266,89;93331,30;111620,91;120954,58;105496,23
Sammelgebäude, Strom;31628,203;30007,103;32656,194;31607,694;32764,486;31266,01;32591,553;30346,319;30173,614;32282,428;32009,241;30064,477
Sportzentrum, Strom;44080,51;39398,69;39364,47;38870,81;40259,36;39341,97;38727,55;21927,89;28893,11;40991,78;45222,79;42473,01
Studentenhaus, Strom;18156,63;18916,57;17086,42;18322,59;19158,92;16611,54;19267,63;15104,04;15135,36;19907,48;19072,6;18353,49
Technische Zentrale, Strom;215122,58;203564,17;213095,89;204356,66;261394,44;364116,03;425888,26;412869,19;346200,37;260159,43;221788,05;224466,8
Verwaltungsgebäude und Ladengeschäfte, Strom;14583,62;12565,86;13316,12;10988,74;9628,52;8949,11;11745,86;13480,04;13502,83;16117,59;14087,68;14183,53
Vielberthgebäude, Strom;33769,71;27112,04;26443,17;23427,99;25260,9;25715,29;28087,14;22586,63;19661,45;34533,02;38624,66;35977,91
Vorklinikum, Strom;259024,53;237267,92;247871,32;221246,92;218758,79;207381,73;216876,72;209889,73;202863,81;223232,55;228841,49;233064,93
Zentrales Bibiliotheksgebäude, Strom;96687,0773453192;90454,9218753875;98820,238;84098,863;87648,506;84659,067;86840,697;87076,14;86363,793;94119,884;96946,688;95118,845
Zentrales Hörsaalgebäude, Strom;59667,31;57439,88;55200,76;62105,35;62430,77;60158,87;66388,3;47210,6;54469,05;66417,42;66767,59;61611,92
